time_ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2420,228,206,107,207,83,0,0,0
2430,227,207,108,208,81,0,0,0
2440,226,207,108,209,78,0,0,0
2450,224,208,109,209,76,0,0,0
2460,223,209,110,210,73,0,0,0
2470,222,210,111,210,71,0,0,0
2480,220,211,112,211,68,0,0,0
2490,219,212,112,211,66,0,0,0
2500,218,212,113,212,64,0,0,0
2510,216,213,114,213,61,0,0,0
2520,215,214,115,213,59,0,0,0
2530,213,215,116,214,57,0,0,0
2540,212,216,117,214,55,0,0,0
2550,210,217,118,215,53,0,0,0
2560,209,218,118,215,50,0,0,0
2570,207,218,119,216,48,0,0,0
2580,206,219,120,216,46,0,0,0
2590,204,220,121,217,44,0,0,0
2600,202,221,122,217,42,0,0,0
2610,201,222,123,218,40,0,0,0
2620,199,223,123,218,38,0,0,0
2630,198,224,124,219,36,0,0,0
2640,196,224,125,219,35,0,0,0
2650,194,225,126,220,33,0,0,0
2660,192,226,127,221,31,0,0,0
2670,191,227,128,221,29,0,0,0
2680,189,228,129,222,28,0,0,0
2690,187,229,130,222,26,0,0,0
2700,185,230,130,222,24,0,0,0
2710,184,230,131,223,23,0,0,0
2720,182,231,132,223,21,0,0,0
2730,180,232,133,224,20,0,0,0
2740,178,233,134,224,18,0,0,0
2750,176,234,135,225,17,0,0,0
2760,174,235,136,225,16,0,0,0
2770,173,235,137,226,15,0,0,0
2780,171,236,137,226,13,0,0,0
2790,169,237,138,227,12,0,0,0
2800,167,238,139,227,11,0,0,0
2810,165,239,140,228,10,0,0,0
2820,163,240,141,228,9,0,0,0
2830,161,241,142,229,8,0,0,0
2840,159,241,143,229,7,0,0,0
2850,157,242,144,229,6,0,0,0
2860,155,243,145,230,5,0,0,0
2870,153,244,146,230,5,0,0,0
2880,151,245,146,231,4,0,0,0
2890,149,246,147,231,3,0,0,0
2900,147,246,148,232,3,0,0,0
2910,145,247,149,232,2,0,0,0
2920,143,248,150,232,2,0,0,0
2930,141,249,151,233,1,0,0,0
2940,139,250,152,233,1,0,0,0
2950,138,251,153,234,1,0,0,0
2960,136,252,154,234,0,0,0,0
2970,134,252,155,234,0,0,0,0
2980,132,253,156,235,0,0,0,0
2990,130,254,156,235,0,0,0,0
3000,128,255,157,236,0,0,0,0
3010,125,254,158,236,255,0,0,0
3020,123,253,159,236,255,0,0,0
3030,121,252,160,237,255,0,0,0
3040,119,252,161,237,255,0,0,0
3050,117,251,162,237,255,0,0,0
3060,116,250,163,238,255,0,0,0
3070,114,249,164,238,255,0,0,0
3080,112,248,165,239,255,0,0,0
3090,110,247,166,239,255,0,0,0
3100,108,246,167,239,255,0,0,0
3110,106,246,168,240,255,0,0,0
3120,104,245,169,240,255,0,0,0
3130,102,244,170,240,255,0,0,0
3140,100,243,171,241,255,0,0,0
3150,98,242,171,241,255,0,0,0
3160,96,241,172,241,255,0,0,0
3170,94,241,173,242,255,0,0,0
3180,92,240,174,242,255,0,0,0
3190,90,239,175,242,255,0,0,0
3200,88,238,176,243,255,0,0,0
3210,86,237,177,243,255,0,0,0
3220,84,236,178,243,255,0,0,0
3230,82,235,179,243,255,0,0,0
3240,81,235,180,244,255,0,0,0
3250,79,234,181,244,255,0,0,0
3260,77,233,182,244,255,0,0,0
